Disease,Year,PROVINCE,Week_no,Count
Dengue,2013,Saraburi,15,4
Dengue,2013,Saraburi,16,10
Dengue,2013,Saraburi,17,5
Dengue,2013,Saraburi,18,9
Dengue,2013,Saraburi,19,11
Dengue,2013,Saraburi,20,14
Dengue,2013,Saraburi,21,15
Dengue,2013,Saraburi,22,7
Dengue,2013,Saraburi,23,8
Dengue,2013,Saraburi,24,15
Dengue,2013,Saraburi,25,14
Dengue,2013,Saraburi,26,17
Dengue,2013,Saraburi,27,18
Dengue,2013,Saraburi,28,33
Dengue,2013,Saraburi,29,35
Dengue,2013,Saraburi,30,49
Dengue,2013,Saraburi,31,47
Dengue,2013,Saraburi,32,54
Dengue,2013,Saraburi,33,51
Dengue,2013,Saraburi,34,54
Dengue,2013,Saraburi,35,46
Dengue,2013,Saraburi,36,32
Dengue,2013,Saraburi,37,26
Dengue,2013,Saraburi,38,18
Dengue,2013,Saraburi,39,26
Dengue,2013,Saraburi,40,15
Dengue,2013,Saraburi,41,24
Dengue,2013,Saraburi,42,15
Dengue,2013,Saraburi,43,20
Dengue,2013,Saraburi,44,24
Dengue,2013,Saraburi,45,17
Dengue,2013,Saraburi,46,18
Dengue,2013,Saraburi,47,13
Dengue,2013,Saraburi,48,14
Dengue,2013,Saraburi,49,8
Dengue,2013,Saraburi,50,6
Dengue,2013,Saraburi,51,4
Dengue,2013,Saraburi,52,4
Dengue,2013,Saraburi,53,3
Dengue,2013,Chonburi,1,29
Dengue,2013,Chonburi,2,46
Dengue,2013,Chonburi,3,37
Dengue,2013,Chonburi,4,21
Dengue,2013,Chonburi,5,21
Dengue,2013,Chonburi,6,28
Dengue,2013,Chonburi,7,36
Dengue,2013,Chonburi,8,22
Dengue,2013,Chonburi,9,31
Dengue,2013,Chonburi,10,19
Dengue,2013,Chonburi,11,30
Dengue,2013,Chonburi,12,29
Dengue,2013,Chonburi,13,22
Dengue,2013,Chonburi,14,38
Dengue,2013,Chonburi,15,32
Dengue,2013,Chonburi,16,39
Dengue,2013,Chonburi,17,41
Dengue,2013,Chonburi,18,30
Dengue,2013,Chonburi,19,27
Dengue,2013,Chonburi,20,42
Dengue,2013,Chonburi,21,34
Dengue,2013,Chonburi,22,62
Dengue,2013,Chonburi,23,69
